Age_Group,Income_Level,Nationality,Luxury_Interest,Shopping_Frequency,Preferred_Category,Color_Preference,Digital_Engagement,Influenced_By_AI,Max_Spend,Will_Buy
18-25,Low,Emirati,Medium,Rare,Jewelry,White,Medium,No,30272,No
46+,High,Expat - Arab,High,Frequent,Real Estate,Silver,Low,No,25512,No
18-25,Ultra High,Expat - Western,Medium,Rare,Watches,White,Low,No,34645,No
26-35,High,Emirati,Medium,Rare,Watches,Bold Colors,High,No,47543,Yes
36-45,High,Expat - Indian,Medium,Rare,Real Estate,Gold,High,Yes,22179,No
18-25,Medium,Expat - Arab,Medium,Occasional,Automobiles,Black,Low,Yes,11691,No
46+,Medium,Emirati,High,Occasional,Fashion,Bold Colors,Low,Yes,17110,No
26-35,Low,Other,High,Occasional,Fashion,Bold Colors,Medium,Yes,36291,No
18-25,Medium,Expat - Indian,Low,Frequent,Watches,Bold Colors,High,No,46311,No
46+,Medium,Emirati,High,Frequent,Watches,Bold Colors,Low,No,30845,Yes
46+,Low,Expat - Indian,Medium,Rare,Watches,Black,Low,Yes,40038,No
46+,High,Expat - Indian,High,Occasional,Real Estate,Silver,High,Yes,25967,Yes
18-25,Medium,Expat - Western,Medium,Frequent,Automobiles,White,Medium,Yes,29478,No
18-25,Low,Expat - Indian,High,Occasional,Fashion,Bold Colors,Medium,No,6088,No
18-25,Low,Expat - Western,High,Frequent,Jewelry,White,Medium,No,41332,No
36-45,Medium,Expat - Arab,Medium,Frequent,Real Estate,White,Medium,No,8066,No
18-25,Low,Expat - Western,Medium,Rare,Fashion,Bold Colors,Low,No,40313,No
18-25,High,Other,High,Rare,Automobiles,Silver,High,Yes,3321,Yes
18-25,Medium,Emirati,High,Frequent,Real Estate,White,High,Yes,46900,No
36-45,Medium,Expat - Arab,Low,Rare,Fashion,Gold,Low,Yes,25533,No
18-25,Medium,Expat - Arab,High,Frequent,Real Estate,White,Low,Yes,25509,No
46+,High,Other,Medium,Frequent,Fashion,Bold Colors,Low,No,42098,No
18-25,Medium,Expat - Western,Low,Occasional,Fashion,Black,High,Yes,9294,No
46+,Medium,Emirati,Medium,Rare,Automobiles,White,High,No,47321,No
46+,Medium,Expat - Western,Medium,Rare,Jewelry,Silver,High,Yes,39101,No
46+,Low,Expat - Indian,High,Rare,Automobiles,Gold,Medium,Yes,26059,No
36-45,High,Expat - Western,Medium,Occasional,Fashion,Gold,Low,Yes,32248,No
36-45,High,Expat - Arab,High,Occasional,Real Estate,Black,Low,Yes,41626,Yes
36-45,Medium,Emirati,Low,Occasional,Automobiles,Black,Low,No,21703,No
18-25,High,Expat - Western,Medium,Rare,Jewelry,White,High,Yes,39157,No
46+,High,Emirati,Medium,Rare,Fashion,Bold Colors,Low,No,4205,No
36-45,High,Emirati,Medium,Rare,Automobiles,Silver,Low,No,35929,No
36-45,High,Expat - Indian,Low,Occasional,Automobiles,Gold,Medium,Yes,18848,No
18-25,Medium,Expat - Indian,Low,Occasional,Automobiles,Black,High,No,34411,No
36-45,Medium,Expat - Arab,Medium,Frequent,Automobiles,Silver,Low,Yes,15986,No
18-25,Medium,Other,Medium,Occasional,Real Estate,Bold Colors,High,No,12628,No
26-35,High,Emirati,Medium,Frequent,Jewelry,Gold,High,No,39119,No
36-45,Low,Other,Medium,Rare,Jewelry,Gold,High,No,5553,No
26-35,High,Expat - Arab,High,Occasional,Fashion,Bold Colors,Medium,Yes,7518,Yes
18-25,High,Emirati,High,Rare,Watches,Gold,High,Yes,39491,Yes
46+,Low,Emirati,Medium,Rare,Real Estate,Bold Colors,High,Yes,8946,No
36-45,High,Other,Medium,Rare,Fashion,Gold,High,Yes,1610,No
18-25,Low,Expat - Western,Low,Rare,Fashion,White,Low,No,5302,No
46+,Medium,Expat - Indian,High,Occasional,Automobiles,Bold Colors,Medium,No,35311,No
46+,High,Expat - Western,Low,Rare,Watches,Silver,Low,Yes,35234,Yes
26-35,Low,Other,Medium,Frequent,Watches,White,Medium,Yes,42876,No
18-25,High,Expat - Indian,Medium,Occasional,Real Estate,Silver,Medium,Yes,15656,No
46+,High,Expat - Western,Medium,Rare,Watches,Gold,High,Yes,40004,No
36-45,Medium,Expat - Indian,Low,Occasional,Fashion,Silver,High,Yes,47487,No
36-45,Low,Emirati,High,Frequent,Watches,White,Low,Yes,19656,No
26-35,Low,Expat - Western,Low,Rare,Watches,Bold Colors,Medium,No,42811,No
46+,Medium,Expat - Indian,Medium,Frequent,Jewelry,Black,High,Yes,5536,No
18-25,Ultra High,Expat - Indian,Low,Rare,Fashion,Silver,High,Yes,43974,No
36-45,Medium,Expat - Indian,Low,Frequent,Watches,Black,High,No,20856,No
46+,Low,Expat - Western,High,Rare,Watches,Silver,High,Yes,37410,No
46+,Medium,Expat - Arab,Low,Occasional,Automobiles,Silver,Low,No,45830,No
26-35,Medium,Expat - Western,High,Rare,Watches,Bold Colors,Low,No,17447,No
36-45,High,Other,Medium,Occasional,Watches,Gold,High,No,46823,No
36-45,Low,Expat - Western,Low,Rare,Jewelry,White,High,Yes,34327,Yes
18-25,High,Expat - Indian,High,Rare,Fashion,White,High,Yes,35501,Yes
36-45,Medium,Emirati,Medium,Frequent,Real Estate,White,High,No,9861,No
18-25,Ultra High,Expat - Western,High,Frequent,Fashion,Gold,High,No,21278,No
36-45,Medium,Expat - Western,Low,Frequent,Automobiles,Black,Medium,Yes,2542,No
26-35,Medium,Expat - Indian,High,Rare,Fashion,White,Medium,Yes,43231,No
36-45,Ultra High,Emirati,Low,Rare,Watches,Black,Medium,Yes,3415,No
18-25,Low,Emirati,Medium,Rare,Automobiles,Gold,Medium,Yes,44751,No
18-25,Ultra High,Other,High,Occasional,Fashion,Gold,High,Yes,13905,Yes
26-35,Medium,Expat - Western,High,Occasional,Automobiles,Bold Colors,Medium,Yes,22601,No
36-45,Low,Emirati,High,Rare,Real Estate,White,Medium,Yes,39155,No
36-45,Medium,Emirati,High,Frequent,Fashion,Bold Colors,Low,No,22563,No
26-35,High,Expat - Arab,High,Frequent,Watches,White,Medium,Yes,41955,Yes
36-45,Low,Expat - Arab,Low,Frequent,Automobiles,Gold,Medium,No,7643,No
36-45,Medium,Emirati,Medium,Rare,Jewelry,Gold,High,No,49435,Yes
18-25,Medium,Other,Medium,Frequent,Automobiles,Silver,Medium,Yes,25044,No
36-45,Medium,Emirati,Medium,Rare,Jewelry,Silver,Medium,No,12246,No
36-45,Low,Expat - Indian,Medium,Occasional,Watches,Gold,High,No,3458,No
26-35,High,Expat - Western,Medium,Frequent,Real Estate,Gold,Medium,Yes,7028,No
26-35,Ultra High,Other,Low,Occasional,Jewelry,Black,High,Yes,39215,No
46+,Ultra High,Expat - Indian,Medium,Frequent,Real Estate,Black,Medium,Yes,35716,No
18-25,High,Other,Low,Rare,Automobiles,Bold Colors,Low,No,7306,No
36-45,Low,Expat - Indian,Medium,Rare,Watches,Silver,Low,No,42019,No
36-45,High,Expat - Western,Medium,Rare,Jewelry,Silver,Medium,Yes,41860,No
46+,Low,Expat - Western,High,Rare,Automobiles,Gold,Low,No,28678,No
36-45,Low,Expat - Arab,High,Frequent,Fashion,Gold,High,Yes,25908,No
18-25,Medium,Expat - Indian,Medium,Occasional,Automobiles,Bold Colors,Medium,Yes,13363,No
46+,Medium,Expat - Arab,Low,Rare,Real Estate,Silver,High,No,15066,No
18-25,High,Expat - Indian,Medium,Frequent,Watches,Black,Low,Yes,49897,No
46+,Medium,Expat - Arab,Low,Occasional,Watches,White,High,No,49544,No
46+,Medium,Expat - Western,Medium,Rare,Automobiles,Bold Colors,Low,No,33711,No
26-35,Low,Other,Medium,Occasional,Fashion,White,Low,No,1189,No
18-25,Ultra High,Expat - Arab,Low,Rare,Real Estate,Black,Low,Yes,12752,No
36-45,Medium,Expat - Indian,Medium,Occasional,Automobiles,Black,High,No,8482,No
36-45,Medium,Expat - Indian,High,Occasional,Automobiles,White,Low,No,17679,No
18-25,Low,Expat - Western,High,Rare,Watches,Bold Colors,Medium,Yes,25552,Yes
36-45,High,Expat - Indian,Medium,Frequent,Real Estate,White,Low,Yes,1799,No
36-45,Medium,Emirati,Low,Occasional,Fashion,Bold Colors,Medium,Yes,26381,No
18-25,Low,Other,Low,Rare,Watches,Bold Colors,Medium,No,10934,No
46+,Low,Expat - Arab,Medium,Occasional,Automobiles,Gold,Medium,No,20084,No
18-25,Medium,Other,High,Occasional,Watches,Silver,Medium,Yes,42556,No
46+,Medium,Expat - Western,Low,Frequent,Watches,Silver,High,No,10909,No
36-45,Low,Expat - Arab,High,Occasional,Jewelry,Black,Medium,Yes,26931,No
36-45,Ultra High,Expat - Arab,Low,Occasional,Watches,Gold,Low,No,46183,No
36-45,Low,Emirati,High,Rare,Watches,Silver,Medium,Yes,26868,Yes
26-35,Medium,Expat - Western,Medium,Rare,Real Estate,Bold Colors,Low,Yes,44558,No
46+,Ultra High,Expat - Indian,High,Frequent,Watches,Bold Colors,High,Yes,14846,No
26-35,Medium,Emirati,Medium,Occasional,Fashion,White,Medium,Yes,23257,No
26-35,Medium,Emirati,Medium,Occasional,Automobiles,White,Low,No,29013,No
18-25,Medium,Other,Low,Occasional,Real Estate,Bold Colors,High,Yes,38482,No
26-35,Low,Other,Low,Frequent,Watches,Bold Colors,High,Yes,23875,No
18-25,Ultra High,Other,High,Occasional,Fashion,White,Low,Yes,25717,Yes
18-25,Medium,Emirati,High,Rare,Automobiles,Silver,Medium,Yes,12408,No
26-35,High,Expat - Indian,High,Frequent,Real Estate,Black,High,No,36607,No
46+,Low,Expat - Arab,Medium,Rare,Fashion,White,Low,No,37281,No
46+,Low,Other,High,Rare,Watches,Silver,Medium,Yes,28326,No
46+,Low,Expat - Indian,Low,Frequent,Jewelry,Silver,High,Yes,14601,No
46+,Medium,Expat - Western,Medium,Rare,Jewelry,Silver,Low,Yes,2135,No
46+,Medium,Other,Medium,Occasional,Real Estate,Gold,High,No,23741,No
26-35,High,Expat - Arab,Medium,Frequent,Fashion,Gold,High,No,12913,No
26-35,Medium,Expat - Western,Medium,Rare,Automobiles,Silver,Low,No,11101,No
36-45,Ultra High,Expat - Western,Low,Occasional,Fashion,Bold Colors,High,No,19631,No
46+,Low,Expat - Arab,Medium,Occasional,Jewelry,Gold,Low,No,7548,No
26-35,High,Other,High,Rare,Real Estate,White,Medium,No,38284,No
36-45,High,Emirati,Medium,Occasional,Watches,Gold,Low,Yes,37870,No
46+,High,Expat - Arab,Low,Frequent,Fashion,Bold Colors,Medium,Yes,49985,No
18-25,High,Expat - Arab,Low,Rare,Jewelry,Black,High,Yes,28215,No
36-45,High,Expat - Arab,Medium,Occasional,Automobiles,Gold,Low,Yes,38279,No
26-35,Medium,Expat - Western,Medium,Occasional,Real Estate,Silver,Low,No,20215,No
18-25,Low,Expat - Indian,Medium,Rare,Watches,Silver,Low,Yes,26582,No
18-25,Low,Emirati,Medium,Rare,Fashion,Silver,Low,Yes,15024,Yes
18-25,Ultra High,Other,Medium,Rare,Automobiles,Black,Medium,Yes,12413,No
36-45,Medium,Other,Medium,Rare,Watches,Bold Colors,Medium,Yes,17319,No
26-35,High,Expat - Indian,High,Frequent,Jewelry,White,High,Yes,20446,Yes
18-25,Medium,Expat - Arab,Medium,Rare,Jewelry,Bold Colors,High,No,46483,No
46+,Low,Emirati,Medium,Frequent,Automobiles,Black,High,No,41743,Yes
18-25,Low,Other,High,Frequent,Jewelry,Silver,High,No,33036,No
18-25,Medium,Other,Low,Rare,Real Estate,Bold Colors,Low,Yes,13621,No
36-45,Medium,Expat - Arab,Low,Frequent,Automobiles,White,Medium,Yes,11511,No
36-45,Low,Expat - Indian,High,Rare,Jewelry,Silver,Medium,Yes,20923,No
26-35,Medium,Emirati,Medium,Rare,Fashion,White,Medium,No,11558,Yes
46+,Low,Expat - Indian,Medium,Occasional,Jewelry,Gold,Medium,Yes,33235,No
36-45,Medium,Expat - Indian,Low,Rare,Real Estate,White,High,Yes,1526,No
18-25,Low,Emirati,Medium,Occasional,Watches,Silver,Low,No,2753,No
26-35,High,Emirati,Medium,Frequent,Watches,Gold,Medium,Yes,27248,No
18-25,Medium,Other,Low,Occasional,Jewelry,Silver,Low,Yes,15656,No
18-25,Medium,Other,Medium,Frequent,Watches,Silver,Low,Yes,24266,Yes
36-45,Low,Emirati,Medium,Rare,Jewelry,Gold,Low,Yes,11220,Yes
26-35,Low,Expat - Western,Medium,Frequent,Real Estate,White,Low,Yes,19038,No
46+,Medium,Other,Low,Frequent,Watches,Black,Medium,Yes,13741,No
46+,Medium,Expat - Western,Low,Rare,Fashion,Black,Medium,No,5841,No
36-45,Medium,Emirati,Medium,Frequent,Jewelry,Black,Medium,No,37809,No
36-45,Low,Other,Low,Rare,Watches,Black,High,Yes,31575,No
26-35,Medium,Expat - Indian,High,Occasional,Real Estate,Bold Colors,Medium,No,42733,No
46+,High,Emirati,Low,Rare,Real Estate,Black,High,Yes,15418,No
46+,High,Expat - Arab,Medium,Rare,Fashion,Gold,High,Yes,38185,No
46+,Low,Expat - Western,Low,Frequent,Real Estate,Black,High,Yes,42745,No
18-25,Medium,Emirati,Medium,Occasional,Real Estate,Silver,Medium,No,28881,Yes
46+,Low,Emirati,High,Rare,Watches,Black,Medium,Yes,15587,No
18-25,Low,Other,Low,Occasional,Jewelry,White,Medium,No,23268,No
26-35,Ultra High,Other,High,Occasional,Automobiles,Gold,High,No,1448,No
18-25,Low,Other,Medium,Frequent,Real Estate,Gold,High,Yes,38353,No
26-35,Medium,Expat - Arab,High,Rare,Real Estate,Bold Colors,Low,No,46519,No
46+,Medium,Other,Medium,Frequent,Automobiles,Silver,High,No,9108,Yes
46+,High,Emirati,High,Rare,Real Estate,Gold,High,Yes,49302,Yes
26-35,Medium,Other,Medium,Occasional,Watches,White,Medium,Yes,12443,Yes
36-45,Low,Expat - Indian,Medium,Rare,Watches,Black,Low,No,23435,No
26-35,Medium,Other,Low,Rare,Automobiles,Gold,Low,No,34062,No
36-45,Medium,Expat - Arab,Low,Occasional,Real Estate,White,Low,Yes,2238,Yes
18-25,Low,Expat - Indian,High,Occasional,Real Estate,Black,Medium,Yes,16321,No
18-25,Medium,Emirati,Medium,Rare,Jewelry,Bold Colors,Low,Yes,17074,Yes
18-25,Low,Emirati,Medium,Frequent,Real Estate,Gold,Low,Yes,14049,Yes
46+,Low,Expat - Western,High,Rare,Watches,Gold,Medium,Yes,36584,No
18-25,Medium,Expat - Indian,Medium,Occasional,Fashion,White,Low,No,2098,No
36-45,Low,Expat - Western,High,Frequent,Fashion,Silver,High,No,15679,No
18-25,Medium,Expat - Indian,High,Occasional,Fashion,Bold Colors,High,Yes,35505,No
26-35,Medium,Expat - Indian,Medium,Occasional,Fashion,Silver,High,No,36533,No
26-35,High,Expat - Arab,High,Frequent,Real Estate,Gold,High,No,47998,No
46+,Low,Expat - Western,Low,Occasional,Real Estate,Silver,High,Yes,12434,No
26-35,Low,Expat - Arab,Medium,Occasional,Jewelry,Black,High,Yes,45859,No
36-45,Low,Expat - Indian,Medium,Occasional,Real Estate,Bold Colors,High,Yes,34178,No
18-25,Medium,Emirati,Medium,Occasional,Fashion,Silver,High,No,28575,Yes
46+,High,Expat - Indian,High,Occasional,Automobiles,Black,High,Yes,20329,Yes
18-25,Low,Expat - Arab,High,Occasional,Automobiles,White,Medium,No,38554,No
18-25,Ultra High,Expat - Western,Medium,Occasional,Watches,Silver,Medium,Yes,42837,No
36-45,Low,Expat - Western,Medium,Occasional,Watches,Bold Colors,High,Yes,19493,No
26-35,Medium,Expat - Arab,High,Occasional,Real Estate,Black,Medium,Yes,22830,No
26-35,High,Expat - Western,Medium,Rare,Automobiles,Silver,Medium,Yes,39603,No
18-25,High,Other,Medium,Rare,Fashion,White,High,No,35754,No
46+,High,Emirati,Medium,Occasional,Fashion,Silver,High,No,9126,No
26-35,High,Emirati,High,Rare,Fashion,Black,Medium,Yes,42838,Yes
46+,Medium,Emirati,Medium,Frequent,Real Estate,Silver,High,No,41068,Yes
26-35,High,Expat - Western,High,Rare,Real Estate,Bold Colors,High,No,23093,No
46+,Low,Expat - Western,High,Occasional,Jewelry,Gold,High,Yes,49316,No
36-45,High,Expat - Indian,Medium,Occasional,Fashion,Black,High,No,36171,No
46+,Medium,Expat - Indian,Medium,Rare,Fashion,Black,Medium,Yes,9262,No
36-45,High,Emirati,High,Occasional,Real Estate,Black,Low,Yes,44270,Yes
36-45,Medium,Other,Medium,Frequent,Real Estate,Black,Medium,Yes,21785,No
46+,Medium,Expat - Indian,High,Frequent,Jewelry,Silver,Low,No,40469,No
36-45,Medium,Expat - Indian,High,Occasional,Jewelry,Bold Colors,Low,Yes,4295,No
18-25,High,Expat - Western,Medium,Frequent,Watches,White,Low,No,16687,No
36-45,Low,Other,High,Frequent,Automobiles,Bold Colors,Medium,No,46643,No
26-35,Low,Emirati,High,Rare,Fashion,Black,Medium,Yes,3121,No
46+,Low,Expat - Indian,High,Frequent,Fashion,Silver,Medium,Yes,4582,No
18-25,Low,Other,Medium,Rare,Jewelry,Silver,Medium,Yes,48245,No
46+,High,Other,Low,Occasional,Jewelry,Black,Medium,Yes,31280,No
26-35,Low,Emirati,Medium,Rare,Watches,Silver,Low,Yes,43589,No
26-35,Ultra High,Other,Medium,Occasional,Automobiles,Black,Medium,Yes,39468,No
26-35,Medium,Other,Medium,Occasional,Watches,Bold Colors,Low,Yes,41000,No
36-45,Low,Other,High,Occasional,Automobiles,Gold,Medium,Yes,38056,No
36-45,High,Expat - Indian,Medium,Occasional,Fashion,Silver,Medium,Yes,32672,No
46+,Medium,Emirati,Medium,Occasional,Watches,Black,High,Yes,2085,No
